"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.523436426E0,5.014419556E-3,-3.087538481E-2,-7.317042351E-2
5.542451322E0,-2.719116211E-2,-1.724275947E-2,-7.246994972E-2
5.561466218E0,-5.265045166E-2,1.413071156E-2,-5.628716946E-2
5.580481062E0,-5.403232574E-2,7.672744989E-2,-6.457078457E-2
5.599496010E0,-5.676269531E-3,1.186046302E-1,-7.328045368E-2
5.618510853E0,-1.780509949E-3,1.198158860E-1,-9.328830242E-2
5.637525749E0,-3.628635406E-2,5.769738555E-2,-2.963948250E-2
5.656540645E0,7.943153381E-3,-4.049584270E-2,6.944775581E-2
5.675555541E0,3.102397919E-2,-9.389403462E-2,1.037975550E-1
5.694570437E0,2.350711823E-2,-1.698045433E-1,1.524448395E-1
5.713585332E0,-2.673530579E-2,-2.347564995E-1,1.719906330E-1
5.732600228E0,-6.923675537E-2,-2.656410635E-1,1.497251987E-1
5.751615124E0,-2.073955536E-2,-2.196080685E-1,1.296170950E-1
5.770630020E0,1.048946381E-2,-7.577449083E-2,1.020840406E-1
5.789644916E0,-1.009006500E-1,4.966682196E-2,6.271731853E-2
5.808659812E0,-1.484155655E-1,1.459763944E-1,2.745366096E-2
5.827674707E0,-2.994060516E-2,1.620194316E-1,-1.235604286E-2
5.846689603E0,5.958938599E-2,1.158172488E-1,-3.257751465E-3
5.865704499E0,-2.791500092E-2,1.536393464E-1,1.758253574E-2
5.884719395E0,-7.964038849E-2,2.464317679E-1,-7.133412361E-2
5.903734291E0,-8.852291107E-2,2.386310101E-1,-1.902271509E-1
5.922749187E0,-8.923721313E-2,1.917708814E-1,-2.470814586E-1
5.941764082E0,-7.673168182E-2,2.065437436E-1,-2.996847034E-1
5.960778978E0,-3.537082672E-2,1.755750477E-1,-3.871203661E-1
5.979793874E0,-3.166198730E-3,6.367066503E-2,-3.603971004E-1
5.998808770E0,-2.953147888E-2,-1.137463301E-1,-2.867956161E-1
6.017823666E0,9.284019470E-3,-2.035660446E-1,-1.996671557E-1
6.036838562E0,3.844547272E-2,-2.788968086E-1,-2.026469111E-1
6.055853457E0,1.741790771E-2,-3.579577506E-1,-2.013914585E-1
6.074868301E0,-4.643726349E-2,-4.457072616E-1,-1.748346090E-1
6.093883197E0,-4.992675781E-2,-4.218477011E-1,-1.379710436E-1
6.112898093E0,-2.039146423E-2,-3.331514597E-1,-1.068884730E-1
6.131912989E0,4.172325134E-3,-2.312068343E-1,-4.569649696E-2
6.150927885E0,1.777744293E-2,-1.565501094E-1,-2.133095264E-2
6.169942780E0,-1.744937897E-2,-1.173811704E-1,-3.668797016E-2
6.188957676E0,-8.264255524E-2,-1.302228868E-1,-1.192188263E-2
6.207972572E0,-1.459312439E-2,-6.408855319E-2,1.489198208E-2
6.226987468E0,4.346084595E-2,-3.301435709E-2,2.723473310E-2
6.246002364E0,3.586196899E-2,7.084757090E-3,-4.285794497E-2
6.265017260E0,1.226234436E-2,3.287407756E-2,-3.738522530E-2
6.284032155E0,4.914283752E-3,3.299254179E-2,1.839083433E-2
6.303047051E0,9.271621704E-3,5.777218938E-2,3.018540144E-2
6.322061947E0,8.310031891E-2,6.187024713E-2,2.135306597E-2
6.341076843E0,7.092571259E-2,6.342038512E-2,-4.545545578E-2
6.360091739E0,-3.840637207E-2,7.643511891E-2,-1.179689169E-1
6.379106635E0,-1.230993271E-1,1.767396927E-2,-1.867262125E-1
6.398121530E0,-1.623373032E-1,-1.569558531E-1,-1.103122234E-1
6.417136426E0,-1.116724014E-1,-3.108969629E-1,4.543024302E-2
6.436151322E0,-1.771736145E-2,-3.811981082E-1,1.330928802E-1
6.455166218E0,2.461433411E-3,-4.055321515E-1,9.480392933E-2
6.474181114E0,1.749992371E-3,-2.581867874E-1,-3.497564793E-2
6.493196010E0,-2.917766571E-2,-1.396449208E-1,-1.237193346E-1
6.512210905E0,-1.182270050E-2,-7.169048488E-2,-1.028885841E-1
6.531225801E0,5.179119110E-2,-2.871713042E-2,-8.724647760E-2
6.550240697E0,2.763080597E-2,-1.313987374E-2,-8.811926842E-2
6.569255593E0,-2.811145782E-2,6.443089247E-2,-1.225182414E-1
6.588270489E0,-1.220588684E-1,6.933781505E-2,-1.424403191E-1
6.607285332E0,-1.138477325E-1,-3.658500314E-2,-1.088538766E-1
6.626300280E0,-8.109092712E-2,-8.173094690E-2,-1.108273864E-1
6.645315124E0,-1.254005432E-1,-1.427177787E-1,-1.261247993E-1
6.664330020E0,-1.272468567E-1,-1.868887544E-1,-1.194355488E-1
6.683344916E0,-3.945636749E-2,-1.605666578E-1,-9.575784206E-2
6.702359812E0,1.288032532E-2,-1.025204360E-1,-1.273992658E-1
6.721374707E0,4.317951202E-2,-2.067047358E-2,-1.533353329E-1
6.740389603E0,-2.450942993E-3,-2.639709413E-2,-1.241823435E-1
6.759404499E0,-4.585266113E-3,-2.507559955E-2,-1.155507565E-1
6.778419395E0,1.084136963E-2,-5.869154632E-2,-6.349021196E-2
6.797434291E0,2.680778503E-3,5.356699228E-3,-5.664896965E-2
6.816449187E0,-6.076812744E-3,3.575561941E-2,-9.456145763E-2
6.835464082E0,-1.712894440E-2,7.234074175E-2,-1.214091182E-1
6.854478978E0,-9.573936462E-3,6.899121404E-2,-1.761148572E-1
6.873493874E0,-2.839565277E-2,-4.722267389E-3,-2.212325633E-1
6.892508770E0,-5.179214478E-2,-7.772244513E-2,-1.900528371E-1
6.911523666E0,-8.216381073E-2,-1.225103587E-1,-1.467799544E-1
6.930538562E0,-1.054811478E-1,-1.146439984E-1,-1.500241756E-1
6.949553457E0,-4.332351685E-2,-3.512932360E-2,-2.036257982E-1
6.968568353E0,-1.214790344E-2,3.900659084E-2,-2.683966756E-1
6.987583249E0,-6.396865845E-2,8.473795652E-2,-2.591183484E-1
7.006598145E0,-6.401824951E-2,7.348670065E-2,-2.697286606E-1
7.025613041E0,-4.635334015E-2,-4.918426275E-4,-2.322947681E-1
7.044627937E0,-4.791927338E-2,-1.032447070E-1,-1.800234914E-1
7.063642832E0,-2.432155609E-2,-1.680471897E-1,-1.222833991E-1
