time,x,y,z,w
1697786343567,-0.1270387,0.08482771,-0.004856208,0.9882519
1697786343582,-0.1272734,0.08471353,-0.004833223,0.9882316
1697786343595,-0.1272169,0.08463988,-0.004744529,0.9882457
1697786343609,-0.1273317,0.08454023,-0.004667434,0.9882398
1697786343624,-0.1273723,0.08460821,-0.004811686,0.988228
1697786343637,-0.1274987,0.0845815,-0.004625626,0.9882149
1697786343651,-0.1277303,0.08455382,-0.004692678,0.9881871
1697786343665,-0.1278826,0.08460683,-0.004640934,0.9881631
1697786343679,-0.1280192,0.08460745,-0.004603933,0.9881455
1697786343693,-0.1280758,0.08464445,-0.004653865,0.9881347
1697786343706,-0.1282576,0.0849061,-0.0046627,0.9880887
1697786343720,-0.1283403,0.08498863,-0.004707437,0.9880706
1697786343734,-0.1283767,0.08507122,-0.004682086,0.9880589
1697786343748,-0.1284681,0.0852256,-0.00459443,0.9880341
1697786343762,-0.1286195,0.08524352,-0.004125562,0.9880149
1697786343776,-0.1289536,0.08542287,-0.00447601,0.9879545
1697786343790,-0.1290076,0.08526502,-0.004574243,0.9879605
1697786343804,-0.1291482,0.08518925,-0.004580228,0.9879487
1697786343818,-0.1291435,0.08516226,-0.004559359,0.9879518
1697786343832,-0.1292183,0.08496297,-0.004628962,0.9879587
1697786343845,-0.1291232,0.08483189,-0.004552391,0.9879828
1697786343859,-0.1290486,0.08460747,-0.004620859,0.9880115
1697786343873,-0.1290383,0.0845298,-0.004507459,0.98802
1697786343887,-0.1291195,0.08433384,-0.004354795,0.9880269
1697786343901,-0.1290764,0.08422744,-0.004342712,0.9880416
1697786343915,-0.128987,0.08409794,-0.004228259,0.9880648
1697786343929,-0.1289797,0.08392284,-0.004076655,0.9880813
1697786343943,-0.1287038,0.08385268,-0.004126895,0.988123
1697786343957,-0.1289734,0.0837834,-0.004142111,0.9880937
1697786343972,-0.1289631,0.08365727,-0.00396119,0.9881064
1697786343984,-0.1289942,0.08360059,-0.004113652,0.9881065
1697786343998,-0.1288284,0.08358542,-0.00428207,0.9881288
1697786344012,-0.1288563,0.08354306,-0.004103867,0.9881294
1697786344026,-0.1288796,0.08351706,-0.004102361,0.9881286
1697786344040,-0.1288287,0.08349267,-0.004052947,0.9881375
1697786344054,-0.1287996,0.08367772,-0.004282523,0.9881247
1697786344068,-0.1287697,0.08384518,-0.00464534,0.9881127
1697786344081,-0.1284592,0.08393142,-0.004728892,0.9881455
1697786344096,-0.1282277,0.08398232,-0.004691487,0.9881715
